symbol,isActive,isIndex
600361,TRUE,FALSE
600362,TRUE,FALSE
600363,TRUE,FALSE
600364,TRUE,FALSE
600365,TRUE,FALSE
600366,TRUE,FALSE
600367,TRUE,FALSE
600368,TRUE,FALSE
600369,TRUE,FALSE
600370,TRUE,FALSE
600371,TRUE,FALSE
600372,TRUE,FALSE
600373,TRUE,FALSE
600374,TRUE,FALSE
600375,TRUE,FALSE
600376,TRUE,FALSE
600377,TRUE,FALSE
600378,TRUE,FALSE
600379,TRUE,FALSE
600380,TRUE,FALSE
600381,TRUE,FALSE
600382,TRUE,FALSE
600383,TRUE,FALSE
600384,TRUE,FALSE
600385,TRUE,FALSE
600386,TRUE,FALSE
600387,TRUE,FALSE
600388,TRUE,FALSE
600389,TRUE,FALSE
600390,TRUE,FALSE
600391,TRUE,FALSE
600392,TRUE,FALSE
600393,TRUE,FALSE
600394,TRUE,FALSE
600395,TRUE,FALSE
600396,TRUE,FALSE
600397,TRUE,FALSE
600398,TRUE,FALSE
600399,TRUE,FALSE
600400,TRUE,FALSE
600401,TRUE,FALSE
600402,TRUE,FALSE
600403,TRUE,FALSE
600404,TRUE,FALSE
600405,TRUE,FALSE
600406,TRUE,FALSE
600407,TRUE,FALSE
600408,TRUE,FALSE
600409,TRUE,FALSE
600410,TRUE,FALSE
600411,TRUE,FALSE
600412,TRUE,FALSE
600413,TRUE,FALSE
600414,TRUE,FALSE
600415,TRUE,FALSE
600416,TRUE,FALSE
600417,TRUE,FALSE
600418,TRUE,FALSE
600419,TRUE,FALSE
600420,TRUE,FALSE
600421,TRUE,FALSE
600422,TRUE,FALSE
600423,TRUE,FALSE
600424,TRUE,FALSE
600425,TRUE,FALSE
600426,TRUE,FALSE
600427,TRUE,FALSE
600428,TRUE,FALSE
600429,TRUE,FALSE
600430,TRUE,FALSE
600431,TRUE,FALSE
600432,TRUE,FALSE
600433,TRUE,FALSE
600434,TRUE,FALSE
600435,TRUE,FALSE
600436,TRUE,FALSE
600437,TRUE,FALSE
600438,TRUE,FALSE
600439,TRUE,FALSE
600440,TRUE,FALSE
600441,TRUE,FALSE
600442,TRUE,FALSE
600443,TRUE,FALSE
600444,TRUE,FALSE
600445,TRUE,FALSE
600446,TRUE,FALSE
600447,TRUE,FALSE
600448,TRUE,FALSE
600449,TRUE,FALSE
600450,TRUE,FALSE
600451,TRUE,FALSE
600452,TRUE,FALSE
600453,TRUE,FALSE
600454,TRUE,FALSE
600455,TRUE,FALSE
600456,TRUE,FALSE
600457,TRUE,FALSE
600458,TRUE,FALSE
600459,TRUE,FALSE
600460,TRUE,FALSE
600461,TRUE,FALSE
600462,TRUE,FALSE
600463,TRUE,FALSE
600464,TRUE,FALSE
600465,TRUE,FALSE
600466,TRUE,FALSE
600467,TRUE,FALSE
600468,TRUE,FALSE
600469,TRUE,FALSE
600470,TRUE,FALSE
600471,TRUE,FALSE
600472,TRUE,FALSE
600473,TRUE,FALSE
600474,TRUE,FALSE
600475,TRUE,FALSE
600476,TRUE,FALSE
600477,TRUE,FALSE
600478,TRUE,FALSE
600479,TRUE,FALSE
600480,TRUE,FALSE
600481,TRUE,FALSE
600482,TRUE,FALSE
600483,TRUE,FALSE
600484,TRUE,FALSE
600485,TRUE,FALSE
600486,TRUE,FALSE
600487,TRUE,FALSE
600488,TRUE,FALSE
600489,TRUE,FALSE
600490,TRUE,FALSE
600491,TRUE,FALSE
600492,TRUE,FALSE
600493,TRUE,FALSE
600494,TRUE,FALSE
600495,TRUE,FALSE
600496,TRUE,FALSE
600497,TRUE,FALSE
600498,TRUE,FALSE
600499,TRUE,FALSE
600500,TRUE,FALSE
600501,TRUE,FALSE
600502,TRUE,FALSE
600503,TRUE,FALSE
600504,TRUE,FALSE
600505,TRUE,FALSE
600506,TRUE,FALSE
600507,TRUE,FALSE
600508,TRUE,FALSE
600509,TRUE,FALSE
600510,TRUE,FALSE
600511,TRUE,FALSE
600512,TRUE,FALSE
600513,TRUE,FALSE
600514,TRUE,FALSE
600515,TRUE,FALSE
600516,TRUE,FALSE
600517,TRUE,FALSE
600518,TRUE,FALSE
600519,TRUE,FALSE
600520,TRUE,FALSE
600521,TRUE,FALSE
600522,TRUE,FALSE
600523,TRUE,FALSE
600524,TRUE,FALSE
600525,TRUE,FALSE
600526,TRUE,FALSE
600527,TRUE,FALSE
600528,TRUE,FALSE
600529,TRUE,FALSE
600530,TRUE,FALSE
600531,TRUE,FALSE
600532,TRUE,FALSE
600533,TRUE,FALSE
600534,TRUE,FALSE
600535,TRUE,FALSE
600536,TRUE,FALSE
600537,TRUE,FALSE
600538,TRUE,FALSE
600539,TRUE,FALSE
600540,TRUE,FALSE
600542,TRUE,FALSE
600543,TRUE,FALSE
600544,TRUE,FALSE
600545,TRUE,FALSE
600546,TRUE,FALSE
600547,TRUE,FALSE
600548,TRUE,FALSE
600549,TRUE,FALSE
600550,TRUE,FALSE
600551,TRUE,FALSE
600552,TRUE,FALSE
600553,TRUE,FALSE
600554,TRUE,FALSE
600555,TRUE,FALSE
600556,TRUE,FALSE
600557,TRUE,FALSE
600558,TRUE,FALSE
600559,TRUE,FALSE
600560,TRUE,FALSE
600561,TRUE,FALSE
600562,TRUE,FALSE
600563,TRUE,FALSE
600564,TRUE,FALSE
600565,TRUE,FALSE
600566,TRUE,FALSE
600567,TRUE,FALSE
600568,TRUE,FALSE
600569,TRUE,FALSE
600570,TRUE,FALSE
600571,TRUE,FALSE
600572,TRUE,FALSE
600573,TRUE,FALSE
600574,TRUE,FALSE
600575,TRUE,FALSE
600576,TRUE,FALSE
600577,TRUE,FALSE
600578,TRUE,FALSE
600579,TRUE,FALSE
600580,TRUE,FALSE
600581,TRUE,FALSE
600582,TRUE,FALSE
600583,TRUE,FALSE
600584,TRUE,FALSE
600585,TRUE,FALSE
